MAPI_TNEF_CORRELATION_KEY 0x007F
MAPI_CONTENT_INTEGRITY_CHECK 0x0C00
MAPI_EXPLICIT_CONVERSION 0x0C01
MAPI_IPM_RETURN_REQUESTED 0x0C02
MAPI_MESSAGE_TOKEN 0x0C03
MAPI_NDR_REASON_CODE 0x0C04
MAPI_NDR_DIAG_CODE 0x0C05
MAPI_NON_RECEIPT_NOTIFICATION_REQUESTED 0x0C06
MAPI_DELIVERY_POINT 0x0C07
MAPI_ORIGINATOR_NON_DELIVERY_REPORT_REQUESTED 0x0C08
MAPI_ORIGINATOR_REQUESTED_ALTERNATE_RECIPIENT 0x0C09
MAPI_PHYSICAL_DELIVERY_BUREAU_FAX_DELIVERY 0x0C0A
MAPI_PHYSICAL_DELIVERY_MODE 0x0C0B
MAPI_PHYSICAL_DELIVERY_REPORT_REQUEST 0x0C0C
MAPI_PHYSICAL_FORWARDING_ADDRESS 0x0C0D
MAPI_PHYSICAL_FORWARDING_ADDRESS_REQUESTED 0x0C0E
MAPI_PHYSICAL_FORWARDING_PROHIBITED 0x0C0F
MAPI_PHYSICAL_RENDITION_ATTRIBUTES 0x0C10
MAPI_PROOF_OF_DELIVERY 0x0C11
MAPI_PROOF_OF_DELIVERY_REQUESTED 0x0C12
MAPI_RECIPIENT_CERTIFICATE 0x0C13
MAPI_RECIPIENT_NUMBER_FOR_ADVICE 0x0C14
MAPI_RECIPIENT_TYPE 0x0C15
MAPI_REGISTERED_MAIL_TYPE 0x0C16
MAPI_REPLY_REQUESTED 0x0C17
MAPI_REQUESTED_DELIVERY_METHOD 0x0C18
MAPI_SENDER_ENTRYID 0x0C19
MAPI_SENDER_NAME 0x0C1A
MAPI_SUPPLEMENTARY_INFO 0x0C1B
MAPI_TYPE_OF_MTS_USER 0x0C1C
MAPI_SENDER_SEARCH_KEY 0x0C1D
MAPI_SENDER_ADDRTYPE 0x0C1E
MAPI_SENDER_EMAIL_ADDRESS 0x0C1F
MAPI_CURRENT_VERSION 0x0E00
MAPI_DELETE_AFTER_SUBMIT 0x0E01
MAPI_DISPLAY_BCC 0x0E02
MAPI_DISPLAY_CC 0x0E03
MAPI_DISPLAY_TO 0x0E04
MAPI_PARENT_DISPLAY 0x0E05
MAPI_MESSAGE_DELIVERY_TIME 0x0E06
MAPI_MESSAGE_FLAGS 0x0E07
MAPI_MESSAGE_SIZE 0x0E08
MAPI_PARENT_ENTRYID 0x0E09
MAPI_SENTMAIL_ENTRYID 0x0E0A
MAPI_CORRELATE 0x0E0C
MAPI_CORRELATE_MTSID 0x0E0D
MAPI_DISCRETE_VALUES 0x0E0E
MAPI_RESPONSIBILITY 0x0E0F
MAPI_SPOOLER_STATUS 0x0E10
MAPI_TRANSPORT_STATUS 0x0E11
MAPI_MESSAGE_RECIPIENTS 0x0E12
MAPI_MESSAGE_ATTACHMENTS 0x0E13
MAPI_SUBMIT_FLAGS 0x0E14
MAPI_RECIPIENT_STATUS 0x0E15
MAPI_TRANSPORT_KEY 0x0E16
MAPI_MSG_STATUS 0x0E17
MAPI_MESSAGE_DOWNLOAD_TIME 0x0E18
MAPI_CREATION_VERSION 0x0E19
MAPI_MODIFY_VERSION 0x0E1A
MAPI_HASATTACH 0x0E1B
MAPI_BODY_CRC 0x0E1C
MAPI_NORMALIZED_SUBJECT 0x0E1D
MAPI_RTF_IN_SYNC 0x0E1F
MAPI_ATTACH_SIZE 0x0E20
MAPI_ATTACH_NUM 0x0E21
MAPI_PREPROCESS 0x0E22
MAPI_ORIGINATING_MTA_CERTIFICATE 0x0E25
MAPI_PROOF_OF_SUBMISSION 0x0E26
MAPI_PRIMARY_SEND_ACCOUNT 0x0E28
MAPI_NEXT_SEND_ACCT 0x0E29
MAPI_ACCESS 0x0FF4
MAPI_ROW_TYPE 0x0FF5
MAPI_INSTANCE_KEY 0x0FF6
MAPI_ACCESS_LEVEL 0x0FF7
MAPI_MAPPING_SIGNATURE 0x0FF8
MAPI_RECORD_KEY 0x0FF9
MAPI_STORE_RECORD_KEY 0x0FFA
MAPI_STORE_ENTRYID 0x0FFB
MAPI_MINI_ICON 0x0FFC
MAPI_ICON 0x0FFD
MAPI_OBJECT_TYPE 0x0FFE
MAPI_ENTRYID 0x0FFF
MAPI_BODY 0x1000
MAPI_REPORT_TEXT 0x1001
MAPI_ORIGINATOR_AND_DL_EXPANSION_HISTORY 0x1002
MAPI_REPORTING_DL_NAME 0x1003
MAPI_REPORTING_MTA_CERTIFICATE 0x1004
MAPI_RTF_SYNC_BODY_CRC 0x1006
MAPI_RTF_SYNC_BODY_COUNT 0x1007
MAPI_RTF_SYNC_BODY_TAG 0x1008
MAPI_RTF_COMPRESSED 0x1009
MAPI_RTF_SYNC_PREFIX_COUNT 0x1010
MAPI_RTF_SYNC_TRAILING_COUNT 0x1011
MAPI_ORIGINALLY_INTENDED_RECIP_ENTRYID 0x1012
MAPI_BODY_HTML 0x1013
MAPI_NATIVE_BODY 0x1016
MAPI_SMTP_MESSAGE_ID 0x1035
MAPI_INTERNET_REFERENCES 0x1039
MAPI_IN_REPLY_TO_ID 0x1042
MAPI_INTERNET_RETURN_PATH 0x1046
MAPI_ICON_INDEX 0x1080
MAPI_LAST_VERB_EXECUTED 0x1081
MAPI_LAST_VERB_EXECUTION_TIME 0x1082
MAPI_URL_COMP_NAME 0x10F3
MAPI_ATTRIBUTE_HIDDEN 0x10F4
MAPI_ATTRIBUTE_SYSTEM 0x10F5
MAPI_ATTRIBUTE_READ_ONLY 0x10F6
MAPI_ROWID 0x3000
MAPI_DISPLAY_NAME 0x3001
MAPI_ADDRTYPE 0x3002
MAPI_EMAIL_ADDRESS 0x3003
MAPI_COMMENT 0x3004
MAPI_DEPTH 0x3005
MAPI_PROVIDER_DISPLAY 0x3006
MAPI_CREATION_TIME 0x3007
MAPI_LAST_MODIFICATION_TIME 0x3008
MAPI_RESOURCE_FLAGS 0x3009
MAPI_PROVIDER_DLL_NAME 0x300A
MAPI_SEARCH_KEY 0x300B
MAPI_PROVIDER_UID 0x300C
MAPI_PROVIDER_ORDINAL 0x300D
MAPI_TARGET_ENTRY_ID 0x3010
MAPI_CONVERSATION_ID 0x3013
MAPI_CONVERSATION_INDEX_TRACKING 0x3016
MAPI_FORM_VERSION 0x3301
MAPI_FORM_CLSID 0x3302
MAPI_FORM_CONTACT_NAME 0x3303
MAPI_FORM_CATEGORY 0x3304
MAPI_FORM_CATEGORY_SUB 0x3305
MAPI_FORM_HOST_MAP 0x3306
MAPI_FORM_HIDDEN 0x3307
MAPI_FORM_DESIGNER_NAME 0x3308
MAPI_FORM_DESIGNER_GUID 0x3309
MAPI_FORM_MESSAGE_BEHAVIOR 0x330A
MAPI_DEFAULT_STORE 0x3400
MAPI_STORE_SUPPORT_MASK 0x340D
MAPI_STORE_STATE 0x340E
MAPI_STORE_UNICODE_MASK 0x340F
MAPI_IPM_SUBTREE_SEARCH_KEY 0x3410
MAPI_IPM_OUTBOX_SEARCH_KEY 0x3411
MAPI_IPM_WASTEBASKET_SEARCH_KEY 0x3412
MAPI_IPM_SENTMAIL_SEARCH_KEY 0x3413
MAPI_MDB_PROVIDER 0x3414
MAPI_RECEIVE_FOLDER_SETTINGS 0x3415
MAPI_VALID_FOLDER_MASK 0x35DF
MAPI_IPM_SUBTREE_ENTRYID 0x35E0
MAPI_IPM_OUTBOX_ENTRYID 0x35E2
MAPI_IPM_WASTEBASKET_ENTRYID 0x35E3
MAPI_IPM_SENTMAIL_ENTRYID 0x35E4
MAPI_VIEWS_ENTRYID 0x35E5
MAPI_COMMON_VIEWS_ENTRYID 0x35E6
MAPI_FINDER_ENTRYID 0x35E7
MAPI_CONTAINER_FLAGS 0x3600
MAPI_FOLDER_TYPE 0x3601
MAPI_CONTENT_COUNT 0x3602
MAPI_CONTENT_UNREAD 0x3603
MAPI_CREATE_TEMPLATES 0x3604
MAPI_DETAILS_TABLE 0x3605
MAPI_SEARCH 0x3607
MAPI_SELECTABLE 0x3609
MAPI_SUBFOLDERS 0x360A
MAPI_STATUS 0x360B
MAPI_ANR 0x360C
MAPI_CONTENTS_SORT_ORDER 0x360D
MAPI_CONTAINER_HIERARCHY 0x360E
MAPI_CONTAINER_CONTENTS 0x360F
MAPI_FOLDER_ASSOCIATED_CONTENTS 0x3610
MAPI_DEF_CREATE_DL 0x3611
MAPI_DEF_CREATE_MAILUSER 0x3612
MAPI_CONTAINER_CLASS 0x3613
MAPI_CONTAINER_MODIFY_VERSION 0x3614
MAPI_AB_PROVIDER_ID 0x3615
